--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-07-06 17:43:09

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
8            Fm-3m           cubic              -4.820459                 1      59       D1:17.783, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      112      D1:56.234, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      70       D1:17.783, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      123      D1:56.234, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      49       D1:17.783, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      138      D1:56.234, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      117      D1:56.234, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      34       D1:10.000, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      132      D1:56.234, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      169      D1:100.000, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      71       D1:31.623, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      22       D1:10.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      97       D1:31.623, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      21       D1:10.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      158      D1:100.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      65       D1:17.783, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      143      D1:100.000, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      149      D1:100.000, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      38       D1:17.783, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      152      D1:100.000, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      55       D1:17.783, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
