Engine,Run ID,Composition,Initial Space Group,Energy (eV/atom),Overall Status,MD Verdict,RMSD Val,RMSD Verdict,Vol Val,Vol Verdict,RDF Val,RDF Verdict,Sym Verdict,Sym Group,Sym List,Completeness Issues
eSEN,optrandom_top_1,LiF,Cm,-18.5661,UNSTABLE,UNSTABLE,2.592,FAIL,26.2,FAIL,-0.011,FAIL,FAIL,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
UMA,optrandom_top_1,LiF,Cm,-18.5661,UNSTABLE,UNSTABLE,1.955,FAIL,15.2,FAIL,-0.012,FAIL,FAIL,Fm-3m,P1 (1); Cc (9); Fm-3m (225),COMPLETE
MACE OMAT,md_cifs_vibroml2_mace_cspbi3_m2p796148,CsPbI3,Pm-3m,-2.796148,UNSTABLE,UNSTABLE,0.793,PASS,4.9,PASS,0.332,FAIL,FAIL,P1,P1 (1),COMPLETE
MACE MP,md_cifs_vibroml2_mace_cspbi3_m2p796148,CsPbI3,Pm-3m,-2.796148,UNSTABLE,UNSTABLE,0.768,PASS,5.5,PASS,0.136,FAIL,FAIL,Pnma,P1 (1); P2_1/m (11); Pnma (62),COMPLETE
MACE MP,md_cifs_vibroml2_mace_mp_cspbi3_m2p796148,CsPbI3,Pm-3m,-2.796148,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
eSEN,md_cifs_vibroml2_esen_cspbi3_m2p796148,CsPbI3,Pm-3m,-2.796148,UNSTABLE,UNSTABLE,0.694,PASS,4.0,PASS,0.385,FAIL,FAIL,Pnma,P1 (1); P2_1 (4); Pnma (62),COMPLETE
UMA,md_cifs_vibroml2_uma_cspbi3_m2p796148,CsPbI3,Pm-3m,-2.796148,UNSTABLE,UNSTABLE,0.648,PASS,3.9,PASS,0.412,FAIL,FAIL,P2_1/m,P1 (1); P2_1/m (11),COMPLETE
MACE OMAT,unique_1_iter2_sample98,CsPbI3,P-1,-2.8248,UNSTABLE,UNSTABLE,2.989,FAIL,8.1,FAIL,0.67,PASS,PASS,P-1,P-1 (2),COMPLETE
MACE MP,unique_1_iter2_sample98,CsPbI3,P-1,-2.8248,UNSTABLE,UNSTABLE,2.097,FAIL,7.2,FAIL,0.687,PASS,PASS,P-1,P-1 (2),COMPLETE
eSEN,unique_1_iter2_sample98,CsPbI3,P-1,-2.8248,UNSTABLE,UNSTABLE,2.011,FAIL,4.0,PASS,0.489,FAIL,FAIL,P1,P1 (1),COMPLETE
UMA,unique_1_iter2_sample98,CsPbI3,P-1,-2.8248,UNSTABLE,UNSTABLE,2.76,FAIL,15.3,FAIL,0.355,FAIL,FAIL,P1,P1 (1),COMPLETE
MACE OMAT,top_5_iter1_sample5,CsPbI3,Pnma,-2.8254,UNSTABLE,UNSTABLE,1.176,FAIL,12.4,FAIL,0.335,FAIL,PASS,Pnma,P1 (1); Pc (7); Pmc2_1 (26); Pnma (62),COMPLETE
MACE MP,top_5_iter1_sample5,CsPbI3,Pnma,-2.8254,UNSTABLE,UNSTABLE,1.061,FAIL,14.5,FAIL,0.347,FAIL,PASS,Pnma,P1 (1); Pmn2_1 (31); Pnma (62),COMPLETE
eSEN,top_5_iter1_sample5,CsPbI3,Pnma,-2.8254,STABLE,STABLE,0.929,PASS,5.3,PASS,0.522,PASS,FAIL,P-1,P1 (1); P-1 (2),COMPLETE
UMA,top_5_iter1_sample5,CsPbI3,Pnma,-2.8254,UNSTABLE,UNSTABLE,1.088,FAIL,7.8,FAIL,0.545,PASS,FAIL,Pm,P1 (1); Pm (6),COMPLETE
MACE OMAT,top_4_iter5_sample56,CsPbI3,Pm,-2.8265,STABLE,STABLE,0.834,PASS,3.8,PASS,0.692,PASS,PASS,Pm,Pm (6),COMPLETE
