--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-26 17:55:57

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
24           P2_1/c          monoclinic         -10.165868                2          3        36       D1:1.000, R21:0.250, Cell:(-0.279, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                2          3        38       D1:1.000, R21:0.320, Cell:(-0.121, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          3        38       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
48           P2_1/c          monoclinic         -10.165868                4          3        3        D1:0.440, R21:-0.250, Cell:(-0.224, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        15       D1:0.250, R21:1.056, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        48       D1:4.000, R21:0.250, Cell:(0.000, 0.082, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        20       D1:1.000, R21:-0.250, Cell:(0.465, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          3        29       D1:1.000, R21:0.250, Cell:(0.000, 0.000, -0.328, 0.000, 0.000, 6.664), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          3        3        D1:2.192, R21:0.250, Cell:(0.070, 0.000, -0.088, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          1        16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          1        16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        40       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          1        5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        21       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          1        5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        24       D1:0.250, R21:0.250, Cell:(-0.048, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
12           P2_1/c          monoclinic         -10.165868                4          3        33       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 7.144), SC:1x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          3        31       D1:0.250, R21:0.250, Cell:(0.070, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          1        4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          1        4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          1        6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          1        6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                4          3        23       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        9        D1:4.306, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        49       D1:0.250, R21:0.502, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        29       D1:3.582, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        27       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -35.308, 0.000), SC:2x1x1, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                4          2        23       D1:4.000, R21:-0.938, Cell:(0.000, 0.463, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        34       D1:2.032, R21:0.000, Cell:(0.000, 0.000, -0.121, 0.000, 15.048, 0.000), SC:1x1x2, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                4          2        38       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.148, -5.226, 0.000, 0.000), SC:2x1x1, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                4          2        47       D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                1          3        20       D1:6.332, R21:0.789, Cell:(0.110, 0.450, 0.500, 3.715, 7.214, 14.744), SC:1x1x2, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                4          3        14       D1:0.250, R21:0.000, Cell:(0.000, 0.396, 0.000, 0.000, -7.344, 0.000), SC:1x1x2, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                2          3        4        D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.207, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          3        45       D1:1.000, R21:1.396, Cell:(0.000, 0.000, -0.115, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          3        6        D1:0.250, R21:0.000, Cell:(0.388, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          1        14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          1        14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        25       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                1          3        2        D1:7.193, R21:-0.436, Cell:(0.322, -0.076, 0.097, -28.208, 7.257, 17.599), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                3          3        50       D1:1.000, R21:0.250, Cell:(0.000, 0.070, 0.223, 8.905, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          3        5        D1:1.000, R21:0.000, Cell:(0.000, 0.000, -0.072, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        19       D1:4.000, R21:-0.250, Cell:(0.410, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
